id_obra_social,idreceta,id_histclinico,id_farm,id_cliente,nombre_cliente,apellido_cliente,dni_cliente,telefono_cliente,email
5146,1,7574,1,1,Bernice,Darling,38931763,6511669419,bdarling0@unicef.org
543,2,206,2,2,Nicoline,Kaindl,50437944,8859432349,nkaindl1@sourceforge.net
5680,3,6168,3,3,Audie,Caldwell,24671187,3572842356,acaldwell2@cornell.edu
3029,4,4485,4,4,Caitlin,Wildin,22065504,5469665245,cwildin3@mapquest.com
5713,5,7791,5,5,Traci,Normanville,44987727,6344751669,tnormanville4@dailymotion.com
6969,6,8373,6,6,Gerty,Leamon,21009048,4994602271,gleamon5@google.co.jp
8920,7,8258,7,7,Emlyn,Balfour,12815012,1752858171,ebalfour6@blinklist.com
5083,8,2814,8,8,Anestassia,Bednall,34754880,2993582395,abednall7@mapquest.com
771,9,3961,9,9,Vida,Fosdike,9857496,5294328997,vfosdike8@chronoengine.com
5542,10,1814,10,10,Bari,Francescotti,14112696,2426627474,bfrancescotti9@mashable.com
7991,11,3141,11,11,Norri,Shepperd,23554551,6774431192,nshepperda@last.fm
7172,12,8612,12,12,Leontyne,Fallawe,4122283,7315091595,lfallaweb@topsy.com
5516,13,452,13,13,Tallou,Duff,1956992,7312730792,tduffc@bbb.org
1195,14,1356,14,14,Guendolen,MacNeil,34294885,1529168278,gmacneild@ebay.co.uk
1318,15,622,15,15,Fayth,Ber,48888175,9445388871,fbere@multiply.com
762,16,5884,16,16,Amanda,Haine,36681964,9485205174,ahainef@answers.com
8063,17,6652,17,17,Perla,Patrono,51780529,5522142295,ppatronog@youtu.be
8128,18,7037,18,18,Amalle,Sammons,17195292,4743129088,asammonsh@dell.com
8987,19,6997,19,19,Ashley,Cadell,29429837,3209704542,acadelli@wordpress.org
603,20,1224,20,20,Kellen,Adamczyk,7770834,5712276467,kadamczykj@nydailynews.com
899,21,8343,21,21,Lorilyn,Blick,34625986,4929785816,lblickk@ebay.co.uk
2774,22,3143,22,22,Teirtza,Colquitt,22454898,6934956218,tcolquittl@reuters.com
7261,23,821,23,23,Beryl,Hodgins,8542853,2169507254,bhodginsm@goodreads.com
3718,24,8305,24,24,Ilysa,De Malchar,13708666,7895684139,idemalcharn@shinystat.com
8175,25,7199,25,25,Steffi,Brotherwood,41641080,1283696441,sbrotherwoodo@gravatar.com
2375,26,8274,26,26,Heidie,Aingel,41893844,6365634737,haingelp@51.la
5500,27,1003,27,27,Coraline,Gosse,33780426,5411406123,cgosseq@senate.gov
8610,28,1696,28,28,Ondrea,Grogona,6099801,6624057560,ogrogonar@amazon.de
518,29,8615,29,29,Bessie,Battabee,6492919,4752112541,bbattabees@wired.com
6002,30,5587,30,30,Phyllis,Stert,13690144,7144173256,pstertt@disqus.com
1108,31,5594,31,31,Drusi,Barefoot,5226797,8256796371,dbarefootu@constantcontact.com
6574,32,6062,32,32,Lilith,Myrtle,16017560,2781098105,lmyrtlev@ow.ly
234,33,8256,33,33,Tamera,Henstone,39320535,8315823136,thenstonew@mashable.com
1114,34,1364,34,34,Theresa,Davidde,1333594,4356442135,tdaviddex@simplemachines.org
6445,35,3278,35,35,Darda,Phillott,41170890,8103901989,dphillotty@yellowbook.com
2079,36,6536,36,36,Nannie,Severns,45391262,7928199931,nsevernsz@imdb.com
1329,37,8581,37,37,Paulita,Wickwar,18432556,3629713874,pwickwar10@infoseek.co.jp
5721,38,2456,38,38,Tiffy,Wycherley,16902008,4453036085,twycherley11@plala.or.jp
7087,39,6577,39,39,Johna,Thurlborn,45475075,3499602395,jthurlborn12@netvibes.com
4162,40,3998,40,40,Mirilla,Beteriss,47766081,9641079271,mbeteriss13@si.edu
2875,41,4818,41,41,Consuela,Comettoi,39140753,6327978791,ccomettoi14@dell.com
8760,42,741,42,42,Celeste,Roiz,33741529,6738806724,croiz15@psu.edu
3840,43,5204,43,43,Ania,Symson,10523904,8075709343,asymson16@ibm.com
1335,44,6236,44,44,Ardra,Knutton,5751937,5445774022,aknutton17@blogspot.com
8761,45,8696,45,45,Philippa,Toma,24492901,2754043781,ptoma18@theatlantic.com
4406,46,2376,46,46,Carmen,Kisbey,16764103,8133013314,ckisbey19@scribd.com
5262,47,267,47,47,Lacie,Beck,50187651,7155562438,lbeck1a@tumblr.com
6100,48,3771,48,48,Nertie,Kettlewell,25151590,8964792266,nkettlewell1b@foxnews.com
7727,49,2033,49,49,Rorie,Kennett,42697325,5671206480,rkennett1c@china.com.cn
7812,50,7628,50,50,Hali,Delacour,41809887,9861450373,hdelacour1d@photobucket.com
