id_obraSocial,telefono_cliente,nombre_cliente,apellido_cliente,nombre_obraSocial,email,numero_socio
5146,8701905959,Cleveland,Ghidelli,Aimbu,cghidelli0@prweb.com,556
543,6902570235,Hurley,Marven,Shuffledrive,hmarven1@oakley.com,3810
5680,3372757290,Roi,Strut,Divavu,rstrut2@flavors.me,2636
3029,4123066032,Carney,Crucitti,Zoovu,ccrucitti3@walmart.com,1104
5713,2264809543,Euell,Jefferson,Photofeed,ejefferson4@bluehost.com,2008
6969,9476665341,Corbett,Chastang,Oyonder,cchastang5@storify.com,4852
8920,3657449511,Barton,Stolting,Brightbean,bstolting6@diigo.com,5778
5083,6295128428,Brita,Giraldez,Kimia,bgiraldez7@blogger.com,3752
771,5701751040,Miran,Aldrin,Yodoo,maldrin8@wufoo.com,8811
5542,8484986882,Matthiew,Yushkin,Dynazzy,myushkin9@hugedomains.com,6133
7991,2609272942,Ab,Deverille,Edgetag,adeverillea@answers.com,63
7172,8154829583,Rafe,Warrior,Photobug,rwarriorb@mayoclinic.com,7821
5516,5172963744,Uri,Prin,Mydo,uprinc@discovery.com,914
1195,6645665187,Garvy,Mastrantone,Thoughtstorm,gmastrantoned@amazon.de,1467
1318,9899275497,Celina,Skittle,Agimba,cskittlee@vimeo.com,3319
762,2637185723,Alexina,Watsham,Roomm,awatshamf@nyu.edu,4045
8063,6499058034,Niki,Pisculli,Twimbo,npiscullig@google.es,8630
8128,5761186199,Cherilynn,Kahen,Vinte,ckahenh@nbcnews.com,3541
8987,2397702484,Annamarie,Morison,Twitterbeat,amorisoni@army.mil,2351
603,7504791760,Clemente,Boncoeur,Katz,cboncoeurj@yandex.ru,1861
899,8229187035,Hartwell,Westerman,Skyble,hwestermank@google.co.jp,8796
2774,3825048683,Aurlie,Nunson,Browsezoom,anunsonl@ebay.com,8392
7261,7016805332,Gretchen,Daubney,Yabox,gdaubneym@state.tx.us,7126
3718,7535520014,Rudolph,Tearle,Gabvine,rtearlen@twitpic.com,1761
8175,5872078786,Bonnee,Kohrsen,Cogidoo,bkohrseno@ycombinator.com,1395
2375,5694251997,Currey,Brisset,Edgewire,cbrissetp@homestead.com,8808
5500,2805524423,Sophronia,Joris,Tagpad,sjorisq@mysql.com,7942
8610,2529641375,Gabbey,Blower,LiveZ,gblowerr@exblog.jp,8315
518,4313202252,Ario,Wingeat,Zoonoodle,awingeats@apache.org,1800
6002,3141648718,Brittan,Kalker,Blognation,bkalkert@thetimes.co.uk,6524
1108,2309669664,Prisca,MacFadden,Wordtune,pmacfaddenu@answers.com,2146
6574,9937850976,Selby,Trinke,Zooxo,strinkev@soundcloud.com,5887
234,8687861094,Vikky,Twiddy,Bubbletube,vtwiddyw@howstuffworks.com,340
1114,2643792059,Albie,Luetchford,Demimbu,aluetchfordx@4shared.com,8573
6445,4277008516,Deck,Venneur,Tagtune,dvenneury@bigcartel.com,6221
2079,4721374244,Cameron,Britt,LiveZ,cbrittz@wired.com,3757
1329,5015290147,Ethelbert,Newe,Livefish,enewe10@sitemeter.com,2168
5721,6514849079,Franz,Severy,Wikizz,fsevery11@pcworld.com,3451
7087,6925063615,Mattias,Mogenot,Blogspan,mmogenot12@technorati.com,7323
4162,3502084147,Egon,Sarle,Yadel,esarle13@cdc.gov,7547
2875,1987634693,Joy,Benadette,Bubbletube,jbenadette14@wikipedia.org,5220
8760,1324808499,Caril,Georgiades,Oozz,cgeorgiades15@networksolutions.com,5810
3840,9314349538,Deeyn,Hardwicke,Jamia,dhardwicke16@newyorker.com,4200
1335,4639042530,Lotti,Tillard,Topiclounge,ltillard17@wikispaces.com,3280
8761,2268762612,Alyson,Coard,Livepath,acoard18@prweb.com,2454
4406,2362391112,Nikolaus,Ghione,Browseblab,nghione19@diigo.com,2744
5262,7263541135,Marcelline,Quincey,Thoughtbeat,mquincey1a@craigslist.org,6321
6100,8055539026,Tomlin,Pauncefort,Mycat,tpauncefort1b@phoca.cz,129
7727,5453485176,Jolene,Barmby,Aimbo,jbarmby1c@sphinn.com,2498
7812,1097554291,Pattin,Bollands,Latz,pbollands1d@rediff.com,463
